info face="TrebuchetMS" size=34 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=2,2
common lineHeight=39 base=32 scaleW=256 scaleH=256 pages=1 packed=0
page id=0 file="russian.png"
chars count=72
char id=1092 x=2 y=2 width=25 height=33 xoffset=1 yoffset=6 xadvance=26 page=0 chnl=0 letter="ф"
char id=1049 x=29 y=2 width=19 height=33 xoffset=2 yoffset=-0 xadvance=23 page=0 chnl=0 letter="Й"
char id=1065 x=50 y=2 width=29 height=32 xoffset=2 yoffset=7 xadvance=31 page=0 chnl=0 letter="Щ"
char id=1044 x=81 y=2 width=23 height=32 xoffset=0 yoffset=7 xadvance=23 page=0 chnl=0 letter="Д"
char id=1062 x=106 y=2 width=20 height=32 xoffset=2 yoffset=7 xadvance=22 page=0 chnl=0 letter="Ц"
char id=1081 x=128 y=2 width=16 height=28 xoffset=2 yoffset=5 xadvance=19 page=0 chnl=0 letter="й"
char id=1073 x=146 y=2 width=17 height=27 xoffset=1 yoffset=6 xadvance=19 page=0 chnl=0 letter="б"
char id=1046 x=165 y=2 width=28 height=26 xoffset=1 yoffset=7 xadvance=30 page=0 chnl=0 letter="Ж"
char id=1070 x=195 y=2 width=27 height=26 xoffset=2 yoffset=7 xadvance=30 page=0 chnl=0 letter="Ю"
char id=1052 x=224 y=2 width=25 height=26 xoffset=0 yoffset=7 xadvance=25 page=0 chnl=0 letter="М"
char id=1060 x=2 y=37 width=23 height=26 xoffset=1 yoffset=7 xadvance=25 page=0 chnl=0 letter="Ф"
char id=1054 x=27 y=37 width=21 height=26 xoffset=1 yoffset=7 xadvance=23 page=0 chnl=0 letter="О"
char id=1051 x=50 y=37 width=21 height=26 xoffset=0 yoffset=7 xadvance=23 page=0 chnl=0 letter="Л"
char id=1059 x=73 y=37 width=20 height=26 xoffset=0 yoffset=7 xadvance=20 page=0 chnl=0 letter="У"
char id=1069 x=95 y=37 width=19 height=26 xoffset=0 yoffset=7 xadvance=20 page=0 chnl=0 letter="Э"
char id=1048 x=116 y=37 width=19 height=26 xoffset=2 yoffset=7 xadvance=23 page=0 chnl=0 letter="И"
char id=1057 x=137 y=37 width=18 height=26 xoffset=1 yoffset=7 xadvance=20 page=0 chnl=0 letter="С"
char id=1050 x=157 y=37 width=18 height=26 xoffset=2 yoffset=7 xadvance=21 page=0 chnl=0 letter="К"
char id=1047 x=177 y=37 width=17 height=26 xoffset=0 yoffset=7 xadvance=18 page=0 chnl=0 letter="З"
char id=48 x=196 y=37 width=16 height=26 xoffset=1 yoffset=7 xadvance=18 page=0 chnl=0 letter="0"
char id=56 x=214 y=37 width=16 height=26 xoffset=1 yoffset=7 xadvance=18 page=0 chnl=0 letter="8"
char id=54 x=232 y=37 width=16 height=26 xoffset=1 yoffset=7 xadvance=18 page=0 chnl=0 letter="6"
char id=57 x=2 y=65 width=16 height=26 xoffset=1 yoffset=7 xadvance=18 page=0 chnl=0 letter="9"
char id=1088 x=20 y=65 width=16 height=26 xoffset=2 yoffset=13 xadvance=19 page=0 chnl=0 letter="р"
char id=51 x=38 y=65 width=15 height=26 xoffset=1 yoffset=7 xadvance=18 page=0 chnl=0 letter="3"
char id=53 x=55 y=65 width=14 height=26 xoffset=2 yoffset=7 xadvance=18 page=0 chnl=0 letter="5"
char id=1064 x=71 y=65 width=26 height=25 xoffset=2 yoffset=7 xadvance=30 page=0 chnl=0 letter="Ш"
char id=1067 x=99 y=65 width=23 height=25 xoffset=2 yoffset=7 xadvance=27 page=0 chnl=0 letter="Ы"
char id=1040 x=124 y=65 width=21 height=25 xoffset=0 yoffset=7 xadvance=20 page=0 chnl=0 letter="А"
char id=1058 x=147 y=65 width=21 height=25 xoffset=0 yoffset=7 xadvance=21 page=0 chnl=0 letter="Т"
